ts,date,jcd,rno,combo,odds
2026-09-20 12:53:21,20260920,6,4,6-1-4,423.1
2026-09-20 12:53:21,20260920,6,4,6-1-5,676.9
2026-09-20 12:53:21,20260920,6,4,6-2-1,564.1
2026-09-20 12:53:21,20260920,6,4,6-2-3,644.7
2026-09-20 12:53:21,20260920,6,4,6-2-4,564.1
2026-09-20 12:53:21,20260920,6,4,6-2-5,796.4
2026-09-20 12:53:21,20260920,6,4,6-3-1,712.6
2026-09-20 12:53:21,20260920,6,4,6-3-2,676.9
2026-09-20 12:53:21,20260920,6,4,6-3-4,564.1
2026-09-20 12:53:21,20260920,6,4,6-3-5,846.2
2026-09-20 12:53:21,20260920,6,4,6-4-1,451.3
2026-09-20 12:53:21,20260920,6,4,6-4-2,564.1
2026-09-20 12:53:21,20260920,6,4,6-4-3,712.6
2026-09-20 12:53:21,20260920,6,4,6-4-5,1230.0
2026-09-20 12:53:21,20260920,6,4,6-5-1,644.7
2026-09-20 12:53:21,20260920,6,4,6-5-2,796.4
2026-09-20 12:53:21,20260920,6,4,6-5-3,752.2
2026-09-20 12:53:21,20260920,6,4,6-5-4,1128.0
2026-09-20 12:59:00,20260920,14,10,1-2-3,11.7
2026-09-20 12:59:00,20260920,14,10,1-2-4,7.6
2026-09-20 12:59:00,20260920,14,10,1-2-5,22.8
2026-09-20 12:59:00,20260920,14,10,1-2-6,22.5
2026-09-20 12:59:00,20260920,14,10,1-3-2,18.6
2026-09-20 12:59:00,20260920,14,10,1-3-4,18.0
2026-09-20 12:59:00,20260920,14,10,1-3-5,37.7
2026-09-20 12:59:00,20260920,14,10,1-3-6,52.3
2026-09-20 12:59:00,20260920,14,10,1-4-2,11.4
2026-09-20 12:59:00,20260920,14,10,1-4-3,19.9
2026-09-20 12:59:00,20260920,14,10,1-4-5,27.4
2026-09-20 12:59:00,20260920,14,10,1-4-6,25.1
2026-09-20 12:59:00,20260920,14,10,1-5-2,43.6
2026-09-20 12:59:00,20260920,14,10,1-5-3,57.9
2026-09-20 12:59:00,20260920,14,10,1-5-4,54.2
2026-09-20 12:59:00,20260920,14,10,1-5-6,87.0
2026-09-20 12:59:00,20260920,14,10,1-6-2,80.0
2026-09-20 12:59:00,20260920,14,10,1-6-3,134.9
2026-09-20 12:59:00,20260920,14,10,1-6-4,90.3
2026-09-20 12:59:00,20260920,14,10,1-6-5,177.0
2026-09-20 12:59:00,20260920,14,10,2-1-3,53.4
2026-09-20 12:59:00,20260920,14,10,2-1-4,38.1
2026-09-20 12:59:00,20260920,14,10,2-1-5,111.7
2026-09-20 12:59:00,20260920,14,10,2-1-6,97.9
2026-09-20 12:59:00,20260920,14,10,2-3-1,116.5
2026-09-20 12:59:00,20260920,14,10,2-3-4,144.2
2026-09-20 12:59:00,20260920,14,10,2-3-5,319.3
2026-09-20 12:59:00,20260920,14,10,2-3-6,268.9
2026-09-20 12:59:00,20260920,14,10,2-4-1,79.4
2026-09-20 12:59:00,20260920,14,10,2-4-3,174.4
2026-09-20 12:59:00,20260920,14,10,2-4-5,273.0
2026-09-20 12:59:00,20260920,14,10,2-4-6,152.2
2026-09-20 12:59:00,20260920,14,10,2-5-1,243.3
2026-09-20 12:59:00,20260920,14,10,2-5-3,388.7
2026-09-20 12:59:00,20260920,14,10,2-5-4,483.3
2026-09-20 12:59:00,20260920,14,10,2-5-6,328.1
2026-09-20 12:59:00,20260920,14,10,2-6-1,240.0
2026-09-20 12:59:00,20260920,14,10,2-6-3,415.9
2026-09-20 12:59:00,20260920,14,10,2-6-4,216.7
2026-09-20 12:59:00,20260920,14,10,2-6-5,401.8
2026-09-20 12:59:00,20260920,14,10,3-1-2,64.7
2026-09-20 12:59:00,20260920,14,10,3-1-4,56.5
2026-09-20 12:59:00,20260920,14,10,3-1-5,101.6
2026-09-20 12:59:00,20260920,14,10,3-1-6,166.3
2026-09-20 12:59:00,20260920,14,10,3-2-1,120.0
2026-09-20 12:59:00,20260920,14,10,3-2-4,114.2
2026-09-20 12:59:00,20260920,14,10,3-2-5,147.1
2026-09-20 12:59:00,20260920,14,10,3-2-6,209.1
2026-09-20 12:59:00,20260920,14,10,3-4-1,102.4
2026-09-20 12:59:00,20260920,14,10,3-4-2,120.0
2026-09-20 12:59:00,20260920,14,10,3-4-5,161.1
2026-09-20 12:59:00,20260920,14,10,3-4-6,143.6
2026-09-20 12:59:00,20260920,14,10,3-5-1,218.0
2026-09-20 12:59:00,20260920,14,10,3-5-2,199.8
2026-09-20 12:59:00,20260920,14,10,3-5-4,250.1
2026-09-20 12:59:00,20260920,14,10,3-5-6,311.0
2026-09-20 12:59:00,20260920,14,10,3-6-1,368.7
2026-09-20 12:59:00,20260920,14,10,3-6-2,354.1
2026-09-20 12:59:00,20260920,14,10,3-6-4,279.4
2026-09-20 12:59:00,20260920,14,10,3-6-5,576.9
2026-09-20 12:59:00,20260920,14,10,4-1-2,35.6
2026-09-20 12:59:00,20260920,14,10,4-1-3,58.4
2026-09-20 12:59:00,20260920,14,10,4-1-5,62.4
2026-09-20 12:59:00,20260920,14,10,4-1-6,68.2
2026-09-20 12:59:00,20260920,14,10,4-2-1,76.9
2026-09-20 12:59:00,20260920,14,10,4-2-3,123.3
2026-09-20 12:59:00,20260920,14,10,4-2-5,169.5
2026-09-20 12:59:00,20260920,14,10,4-2-6,109.7
2026-09-20 12:59:00,20260920,14,10,4-3-1,122.9
2026-09-20 12:59:00,20260920,14,10,4-3-2,145.9
2026-09-20 12:59:00,20260920,14,10,4-3-5,206.7
2026-09-20 12:59:00,20260920,14,10,4-3-6,180.6
2026-09-20 12:59:00,20260920,14,10,4-5-1,88.7
2026-09-20 12:59:00,20260920,14,10,4-5-2,153.5
2026-09-20 12:59:00,20260920,14,10,4-5-3,183.4
2026-09-20 12:59:00,20260920,14,10,4-5-6,172.7
2026-09-20 12:59:00,20260920,14,10,4-6-1,140.8
2026-09-20 12:59:00,20260920,14,10,4-6-2,138.6
2026-09-20 12:59:00,20260920,14,10,4-6-3,174.4
2026-09-20 12:59:00,20260920,14,10,4-6-5,250.1
2026-09-20 12:59:00,20260920,14,10,5-1-2,210.4
2026-09-20 12:59:00,20260920,14,10,5-1-3,240.0
2026-09-20 12:59:00,20260920,14,10,5-1-4,204.3
2026-09-20 12:59:00,20260920,14,10,5-1-6,273.0
2026-09-20 12:59:00,20260920,14,10,5-2-1,361.2
2026-09-20 12:59:00,20260920,14,10,5-2-3,430.9
2026-09-20 12:59:00,20260920,14,10,5-2-4,372.5
2026-09-20 12:59:00,20260920,14,10,5-2-6,361.2
2026-09-20 12:59:00,20260920,14,10,5-3-1,503.7
2026-09-20 12:59:00,20260920,14,10,5-3-2,606.2
2026-09-20 12:59:00,20260920,14,10,5-3-4,627.5
2026-09-20 12:59:00,20260920,14,10,5-3-6,616.6
2026-09-20 12:59:00,20260920,14,10,5-4-1,277.2
2026-09-20 12:59:00,20260920,14,10,5-4-2,503.7
2026-09-20 12:59:00,20260920,14,10,5-4-3,606.2
2026-09-20 12:59:00,20260920,14,10,5-4-6,388.7
2026-09-20 12:59:00,20260920,14,10,5-6-1,851.6
2026-09-20 12:59:00,20260920,14,10,5-6-2,650.3
2026-09-20 12:59:00,20260920,14,10,5-6-3,966.7
2026-09-20 12:59:00,20260920,14,10,5-6-4,662.3
2026-09-20 12:59:00,20260920,14,10,6-1-2,322.2
2026-09-20 12:59:00,20260920,14,10,6-1-3,558.8
2026-09-20 12:59:00,20260920,14,10,6-1-4,328.1
2026-09-20 12:59:00,20260920,14,10,6-1-5,761.0
2026-09-20 12:59:00,20260920,14,10,6-2-1,489.9
2026-09-20 12:59:00,20260920,14,10,6-2-3,567.7
2026-09-20 12:59:00,20260920,14,10,6-2-4,316.5
2026-09-20 12:59:00,20260920,14,10,6-2-5,687.8
2026-09-20 12:59:00,20260920,14,10,6-3-1,701.3
2026-09-20 12:59:00,20260920,14,10,6-3-2,745.1
2026-09-20 12:59:00,20260920,14,10,6-3-4,558.8
2026-09-20 12:59:00,20260920,14,10,6-3-5,1153.0
2026-09-20 12:59:00,20260920,14,10,6-4-1,420.8
2026-09-20 12:59:00,20260920,14,10,6-4-2,286.1
2026-09-20 12:59:00,20260920,14,10,6-4-3,586.3
2026-09-20 12:59:00,20260920,14,10,6-4-5,745.1
2026-09-20 12:59:00,20260920,14,10,6-5-1,917.1
2026-09-20 12:59:00,20260920,14,10,6-5-2,687.8
2026-09-20 12:59:00,20260920,14,10,6-5-3,1430.0
2026-09-20 12:59:00,20260920,14,10,6-5-4,851.6
2026-09-20 12:59:09,20260920,17,6,1-2-3,22.3
2026-09-20 12:59:09,20260920,17,6,1-2-4,151.5
2026-09-20 12:59:09,20260920,17,6,1-2-5,298.8
2026-09-20 12:59:09,20260920,17,6,1-2-6,19.5
2026-09-20 12:59:09,20260920,17,6,1-3-2,28.5
2026-09-20 12:59:09,20260920,17,6,1-3-4,128.4
2026-09-20 12:59:09,20260920,17,6,1-3-5,269.5
2026-09-20 12:59:09,20260920,17,6,1-3-6,27.8
2026-09-20 12:59:09,20260920,17,6,1-4-2,339.5
2026-09-20 12:59:09,20260920,17,6,1-4-3,240.9
2026-09-20 12:59:09,20260920,17,6,1-4-5,488.6
2026-09-20 12:59:09,20260920,17,6,1-4-6,360.6
2026-09-20 12:59:09,20260920,17,6,1-5-2,462.7
2026-09-20 12:59:09,20260920,17,6,1-5-3,287.3
2026-09-20 12:59:09,20260920,17,6,1-5-4,843.3
2026-09-20 12:59:09,20260920,17,6,1-5-6,661.8
2026-09-20 12:59:09,20260920,17,6,1-6-2,25.9
2026-09-20 12:59:09,20260920,17,6,1-6-3,34.8
2026-09-20 12:59:09,20260920,17,6,1-6-4,270.9
2026-09-20 12:59:09,20260920,17,6,1-6-5,498.0
2026-09-20 12:59:09,20260920,17,6,2-1-3,20.1
2026-09-20 12:59:09,20260920,17,6,2-1-4,156.0
2026-09-20 12:59:09,20260920,17,6,2-1-5,298.8
2026-09-20 12:59:09,20260920,17,6,2-1-6,16.7
2026-09-20 12:59:09,20260920,17,6,2-3-1,23.2
2026-09-20 12:59:09,20260920,17,6,2-3-4,148.9
2026-09-20 12:59:09,20260920,17,6,2-3-5,295.4
2026-09-20 12:59:09,20260920,17,6,2-3-6,14.4
2026-09-20 12:59:09,20260920,17,6,2-4-1,363.1
2026-09-20 12:59:09,20260920,17,6,2-4-3,341.7
2026-09-20 12:59:09,20260920,17,6,2-4-5,768.9
2026-09-20 12:59:09,20260920,17,6,2-4-6,250.1
2026-09-20 12:59:09,20260920,17,6,2-5-1,615.1
2026-09-20 12:59:09,20260920,17,6,2-5-3,493.3
2026-09-20 12:59:09,20260920,17,6,2-5-4,933.7
2026-09-20 12:59:09,20260920,17,6,2-5-6,539.0
2026-09-20 12:59:09,20260920,17,6,2-6-1,15.6
2026-09-20 12:59:09,20260920,17,6,2-6-3,13.0
2026-09-20 12:59:09,20260920,17,6,2-6-4,115.9
2026-09-20 12:59:09,20260920,17,6,2-6-5,258.8
2026-09-20 12:59:09,20260920,17,6,3-1-2,33.6
2026-09-20 12:59:09,20260920,17,6,3-1-4,184.7
2026-09-20 12:59:09,20260920,17,6,3-1-5,297.1
2026-09-20 12:59:09,20260920,17,6,3-1-6,32.4
2026-09-20 12:59:09,20260920,17,6,3-2-1,35.3
2026-09-20 12:59:09,20260920,17,6,3-2-4,205.0
2026-09-20 12:59:09,20260920,17,6,3-2-5,288.8
2026-09-20 12:59:09,20260920,17,6,3-2-6,21.2
2026-09-20 12:59:09,20260920,17,6,3-4-1,411.7
2026-09-20 12:59:09,20260920,17,6,3-4-2,408.5
2026-09-20 12:59:09,20260920,17,6,3-4-5,968.3
2026-09-20 12:59:09,20260920,17,6,3-4-6,344.0
2026-09-20 12:59:09,20260920,17,6,3-5-1,768.9
2026-09-20 12:59:09,20260920,17,6,3-5-2,344.0
2026-09-20 12:59:09,20260920,17,6,3-5-4,1067.0
2026-09-20 12:59:09,20260920,17,6,3-5-6,653.6
2026-09-20 12:59:09,20260920,17,6,3-6-1,30.9
2026-09-20 12:59:09,20260920,17,6,3-6-2,20.3
2026-09-20 12:59:09,20260920,17,6,3-6-4,173.7
2026-09-20 12:59:09,20260920,17,6,3-6-5,300.5
2026-09-20 12:59:09,20260920,17,6,4-1-2,622.5
2026-09-20 12:59:09,20260920,17,6,4-1-3,533.5
2026-09-20 12:59:09,20260920,17,6,4-1-5,533.5
2026-09-20 12:59:09,20260920,17,6,4-1-6,539.0
2026-09-20 12:59:09,20260920,17,6,4-2-1,645.5
2026-09-20 12:59:09,20260920,17,6,4-2-3,670.3
2026-09-20 12:59:09,20260920,17,6,4-2-5,679.0
2026-09-20 12:59:09,20260920,17,6,4-2-6,390.2
2026-09-20 12:59:09,20260920,17,6,4-3-1,539.0
2026-09-20 12:59:09,20260920,17,6,4-3-2,726.2
2026-09-20 12:59:09,20260920,17,6,4-3-5,1067.0
2026-09-20 12:59:09,20260920,17,6,4-3-6,594.2
2026-09-20 12:59:09,20260920,17,6,4-5-1,757.8
2026-09-20 12:59:09,20260920,17,6,4-5-2,1162.0
2026-09-20 12:59:09,20260920,17,6,4-5-3,1005.0
2026-09-20 12:59:09,20260920,17,6,4-5-6,1005.0
2026-09-20 12:59:09,20260920,17,6,4-6-1,630.0
2026-09-20 12:59:09,20260920,17,6,4-6-2,458.6
2026-09-20 12:59:09,20260920,17,6,4-6-3,661.8
2026-09-20 12:59:09,20260920,17,6,4-6-5,1452.0
2026-09-20 12:59:09,20260920,17,6,5-1-2,594.2
2026-09-20 12:59:09,20260920,17,6,5-1-3,747.0
2026-09-20 12:59:09,20260920,17,6,5-1-4,886.2
2026-09-20 12:59:09,20260920,17,6,5-1-6,688.0
2026-09-20 12:59:09,20260920,17,6,5-2-1,830.0
2026-09-20 12:59:09,20260920,17,6,5-2-3,533.5
2026-09-20 12:59:09,20260920,17,6,5-2-4,1025.0
2026-09-20 12:59:09,20260920,17,6,5-2-6,747.0
2026-09-20 12:59:09,20260920,17,6,5-3-1,968.3
2026-09-20 12:59:09,20260920,17,6,5-3-2,830.0
2026-09-20 12:59:09,20260920,17,6,5-3-4,1686.0
2026-09-20 12:59:09,20260920,17,6,5-3-6,1005.0
2026-09-20 12:59:09,20260920,17,6,5-4-1,1494.0
2026-09-20 12:59:09,20260920,17,6,5-4-2,1340.0
2026-09-20 12:59:09,20260920,17,6,5-4-3,1803.0
2026-09-20 12:59:09,20260920,17,6,5-4-6,1584.0
2026-09-20 12:59:09,20260920,17,6,5-6-1,1112.0
2026-09-20 12:59:09,20260920,17,6,5-6-2,1216.0
2026-09-20 12:59:09,20260920,17,6,5-6-3,757.8
2026-09-20 12:59:09,20260920,17,6,5-6-4,1136.0
2026-09-20 12:59:09,20260920,17,6,6-1-2,22.4
2026-09-20 12:59:09,20260920,17,6,6-1-3,30.8
2026-09-20 12:59:09,20260920,17,6,6-1-4,218.7
2026-09-20 12:59:09,20260920,17,6,6-1-5,307.5
2026-09-20 12:59:09,20260920,17,6,6-2-1,18.5
2026-09-20 12:59:09,20260920,17,6,6-2-3,14.8
2026-09-20 12:59:09,20260920,17,6,6-2-4,134.7
2026-09-20 12:59:09,20260920,17,6,6-2-5,256.3
2026-09-20 12:59:09,20260920,17,6,6-3-1,28.0
2026-09-20 12:59:09,20260920,17,6,6-3-2,18.7
2026-09-20 12:59:09,20260920,17,6,6-3-4,167.5
2026-09-20 12:59:09,20260920,17,6,6-3-5,231.3
2026-09-20 12:59:09,20260920,17,6,6-4-1,533.5
2026-09-20 12:59:09,20260920,17,6,6-4-2,418.3
2026-09-20 12:59:09,20260920,17,6,6-4-3,539.0
2026-09-20 12:59:09,20260920,17,6,6-4-5,950.7
2026-09-20 12:59:09,20260920,17,6,6-5-1,706.6
2026-09-20 12:59:09,20260920,17,6,6-5-2,706.6
2026-09-20 12:59:09,20260920,17,6,6-5-3,587.5
2026-09-20 12:59:09,20260920,17,6,6-5-4,986.6
2026-09-20 13:01:52,20260920,2,6,1-2-3,32.9
2026-09-20 13:01:52,20260920,2,6,1-2-4,117.2
2026-09-20 13:01:52,20260920,2,6,1-2-5,37.7
2026-09-20 13:01:52,20260920,2,6,1-2-6,218.9
2026-09-20 13:01:52,20260920,2,6,1-3-2,36.0
2026-09-20 13:01:52,20260920,2,6,1-3-4,152.2
2026-09-20 13:01:52,20260920,2,6,1-3-5,41.3
2026-09-20 13:01:52,20260920,2,6,1-3-6,304.4
2026-09-20 13:01:52,20260920,2,6,1-4-2,210.2
2026-09-20 13:01:52,20260920,2,6,1-4-3,202.2
2026-09-20 13:01:52,20260920,2,6,1-4-5,190.5
2026-09-20 13:01:52,20260920,2,6,1-4-6,499.7
2026-09-20 13:01:52,20260920,2,6,1-5-2,72.1
2026-09-20 13:01:52,20260920,2,6,1-5-3,77.2
2026-09-20 13:01:52,20260920,2,6,1-5-4,247.5
2026-09-20 13:01:52,20260920,2,6,1-5-6,427.2
2026-09-20 13:01:52,20260920,2,6,1-6-2,448.9
2026-09-20 13:01:52,20260920,2,6,1-6-3,389.5
2026-09-20 13:01:52,20260920,2,6,1-6-4,575.8
2026-09-20 13:01:52,20260920,2,6,1-6-5,854.4
2026-09-20 13:01:52,20260920,2,6,2-1-3,20.3
2026-09-20 13:01:52,20260920,2,6,2-1-4,102.2
2026-09-20 13:01:52,20260920,2,6,2-1-5,28.0
2026-09-20 13:01:52,20260920,2,6,2-1-6,196.2
2026-09-20 13:01:52,20260920,2,6,2-3-1,19.0
2026-09-20 13:01:52,20260920,2,6,2-3-4,46.3
2026-09-20 13:01:52,20260920,2,6,2-3-5,11.7
2026-09-20 13:01:52,20260920,2,6,2-3-6,114.6
2026-09-20 13:01:52,20260920,2,6,2-4-1,193.3
2026-09-20 13:01:52,20260920,2,6,2-4-3,80.5
2026-09-20 13:01:52,20260920,2,6,2-4-5,96.3
2026-09-20 13:01:52,20260920,2,6,2-4-6,395.3
2026-09-20 13:01:52,20260920,2,6,2-5-1,25.5
2026-09-20 13:01:52,20260920,2,6,2-5-3,17.8
2026-09-20 13:01:52,20260920,2,6,2-5-4,89.7
2026-09-20 13:01:52,20260920,2,6,2-5-6,183.9
2026-09-20 13:01:52,20260920,2,6,2-6-1,715.9
2026-09-20 13:01:52,20260920,2,6,2-6-3,249.8
2026-09-20 13:01:52,20260920,2,6,2-6-4,882.9
2026-09-20 13:01:52,20260920,2,6,2-6-5,602.0
2026-09-20 13:01:52,20260920,2,6,3-1-2,31.1
2026-09-20 13:01:52,20260920,2,6,3-1-4,118.7
2026-09-20 13:01:52,20260920,2,6,3-1-5,34.9
2026-09-20 13:01:52,20260920,2,6,3-1-6,245.2
2026-09-20 13:01:52,20260920,2,6,3-2-1,27.8
2026-09-20 13:01:52,20260920,2,6,3-2-4,49.6
2026-09-20 13:01:52,20260920,2,6,3-2-5,13.5
2026-09-20 13:01:52,20260920,2,6,3-2-6,119.8
2026-09-20 13:01:52,20260920,2,6,3-4-1,172.0
2026-09-20 13:01:52,20260920,2,6,3-4-2,68.8
2026-09-20 13:01:52,20260920,2,6,3-4-5,82.5
2026-09-20 13:01:52,20260920,2,6,3-4-6,301.0
2026-09-20 13:01:52,20260920,2,6,3-5-1,48.7
2026-09-20 13:01:52,20260920,2,6,3-5-2,21.2
2026-09-20 13:01:52,20260920,2,6,3-5-4,69.7
2026-09-20 13:01:52,20260920,2,6,3-5-6,108.1
2026-09-20 13:01:52,20260920,2,6,3-6-1,588.6
2026-09-20 13:01:52,20260920,2,6,3-6-2,284.8
2026-09-20 13:01:52,20260920,2,6,3-6-4,490.5
2026-09-20 13:01:52,20260920,2,6,3-6-5,238.6
2026-09-20 13:01:52,20260920,2,6,4-1-2,206.9
2026-09-20 13:01:52,20260920,2,6,4-1-3,197.6
2026-09-20 13:01:52,20260920,2,6,4-1-5,158.6
2026-09-20 13:01:52,20260920,2,6,4-1-6,383.9
2026-09-20 13:01:52,20260920,2,6,4-2-1,178.9
2026-09-20 13:01:52,20260920,2,6,4-2-3,76.5
