ts,date,jcd,rno,combo,odds
2026-09-21 08:22:33,20260921,10,1,1-2-3,17.1
2026-09-21 08:22:33,20260921,10,1,1-2-4,18.9
2026-09-21 08:22:33,20260921,10,1,1-2-5,29.7
2026-09-21 08:22:33,20260921,10,1,1-2-6,149.3
2026-09-21 08:22:33,20260921,10,1,1-3-2,14.1
2026-09-21 08:22:33,20260921,10,1,1-3-4,6.7
2026-09-21 08:22:33,20260921,10,1,1-3-5,10.4
2026-09-21 08:22:33,20260921,10,1,1-3-6,103.0
2026-09-21 08:22:33,20260921,10,1,1-4-2,15.8
2026-09-21 08:22:33,20260921,10,1,1-4-3,9.2
2026-09-21 08:22:33,20260921,10,1,1-4-5,11.4
2026-09-21 08:22:33,20260921,10,1,1-4-6,116.3
2026-09-21 08:22:33,20260921,10,1,1-5-2,40.0
2026-09-21 08:22:33,20260921,10,1,1-5-3,23.2
2026-09-21 08:22:33,20260921,10,1,1-5-4,22.9
2026-09-21 08:22:33,20260921,10,1,1-5-6,158.8
2026-09-21 08:22:33,20260921,10,1,1-6-2,211.1
2026-09-21 08:22:33,20260921,10,1,1-6-3,255.4
2026-09-21 08:22:33,20260921,10,1,1-6-4,269.1
2026-09-21 08:22:33,20260921,10,1,1-6-5,291.3
2026-09-21 08:22:33,20260921,10,1,2-1-3,105.5
2026-09-21 08:22:33,20260921,10,1,2-1-4,127.7
2026-09-21 08:22:33,20260921,10,1,2-1-5,193.7
2026-09-21 08:22:33,20260921,10,1,2-1-6,510.9
2026-09-21 08:22:33,20260921,10,1,2-3-1,202.6
2026-09-21 08:22:33,20260921,10,1,2-3-4,233.4
2026-09-21 08:22:33,20260921,10,1,2-3-5,387.4
2026-09-21 08:22:33,20260921,10,1,2-3-6,1855.0
2026-09-21 08:22:33,20260921,10,1,2-4-1,220.3
2026-09-21 08:22:33,20260921,10,1,2-4-3,214.9
2026-09-21 08:22:33,20260921,10,1,2-4-5,391.7
2026-09-21 08:22:33,20260921,10,1,2-4-6,750.1
2026-09-21 08:22:33,20260921,10,1,2-5-1,356.1
2026-09-21 08:22:33,20260921,10,1,2-5-3,503.6
2026-09-21 08:22:33,20260921,10,1,2-5-4,568.6
2026-09-21 08:22:33,20260921,10,1,2-5-6,1215.0
2026-09-21 08:22:33,20260921,10,1,2-6-1,1356.0
2026-09-21 08:22:33,20260921,10,1,2-6-3,1602.0
2026-09-21 08:22:33,20260921,10,1,2-6-4,2074.0
