ts,date,jcd,rno,combo,P,rank,payout,stake,status,ret,hit,actual
2026-08-17 15:55:58,20260814,22,8,1-2,0.3562,1,0,1000.0,settled,0.0,0,2-3
2026-08-17 15:55:58,20260814,22,8,2-1,0.2497,2,0,1000.0,settled,0.0,0,2-3
2026-08-17 15:55:58,20260814,22,9,1-3,0.3318,1,250.0,1000.0,settled,2500.0,1,1-3
2026-08-17 15:55:58,20260814,22,9,3-1,0.1764,2,0,1000.0,settled,0.0,0,1-3
2026-08-17 15:55:58,20260814,22,10,1-2,0.3378,1,240.0,1000.0,settled,2400.0,1,1-2
2026-08-17 15:55:58,20260814,22,10,2-1,0.1994,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 15:55:58,20260814,22,11,1-2,0.2363,2,0,1000.0,settled,0.0,0,1-5
2026-08-17 15:55:58,20260814,22,11,1-5,0.2413,1,330.0,1000.0,settled,3300.0,1,1-5
2026-08-17 15:55:58,20260814,22,12,1-2,0.1946,2,0,1000.0,settled,0.0,0,6-1
2026-08-17 15:55:58,20260814,22,12,1-3,0.3649,1,0,1000.0,settled,0.0,0,6-1
2026-08-17 15:55:58,20260814,24,1,1-2,0.3276,1,0,1000.0,settled,0.0,0,2-1
2026-08-17 15:55:58,20260814,24,1,2-1,0.2216,2,410.0,1000.0,settled,4100.0,1,2-1
2026-08-17 15:55:58,20260814,24,6,1-4,0.3295,1,0,1000.0,settled,0.0,0,4-1
2026-08-17 15:55:58,20260814,24,6,4-1,0.2175,2,470.0,1000.0,settled,4700.0,1,4-1
2026-08-17 23:48:48,20260817,5,11,1-2,0.3378,1,180.0,1000.0,settled,1800.0,1,1-2
2026-08-17 23:48:48,20260817,5,11,2-1,0.1741,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 23:48:48,20260817,5,12,1-4,0.3598,1,0,1000.0,settled,0.0,0,4-1
2026-08-17 23:48:48,20260817,5,12,4-1,0.1454,2,330.0,1000.0,settled,3300.0,1,4-1
2026-08-17 23:48:48,20260817,12,10,1-2,0.3034,1,220.0,1000.0,settled,2200.0,1,1-2
2026-08-17 23:48:48,20260817,12,10,2-1,0.1806,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 23:48:48,20260817,22,1,1-2,0.2558,1,0,1000.0,settled,0.0,0,3-1
2026-08-17 23:48:48,20260817,22,1,1-3,0.2168,2,0,1000.0,settled,0.0,0,3-1
2026-08-17 23:48:48,20260817,22,3,1-3,0.3642,1,230.0,1000.0,settled,2300.0,1,1-3
2026-08-17 23:48:48,20260817,22,3,3-1,0.2606,2,0,1000.0,settled,0.0,0,1-3
2026-08-17 23:48:48,20260817,22,4,1-2,0.2832,1,0,1000.0,settled,0.0,0,2-1
2026-08-17 23:48:48,20260817,22,4,2-1,0.1982,2,430.0,1000.0,settled,4300.0,1,2-1
2026-08-17 23:48:48,20260817,22,5,1-2,0.2196,2,0,1000.0,settled,0.0,0,3-4
2026-08-17 23:48:48,20260817,22,5,1-3,0.3083,1,0,1000.0,settled,0.0,0,3-4
2026-08-17 23:48:48,20260817,22,7,1-2,0.3262,1,0,1000.0,settled,0.0,0,1-3
2026-08-17 23:48:48,20260817,22,7,1-3,0.2508,2,230.0,1000.0,settled,2300.0,1,1-3
2026-08-17 23:48:48,20260817,22,8,1-3,0.2951,1,0,1000.0,settled,0.0,0,1-6
2026-08-17 23:48:48,20260817,22,8,3-1,0.1749,2,0,1000.0,settled,0.0,0,1-6
2026-08-17 23:48:48,20260817,22,9,1-2,0.233,2,0,1000.0,settled,0.0,0,1-3
2026-08-17 23:48:48,20260817,22,9,1-4,0.2877,1,0,1000.0,settled,0.0,0,1-3
2026-08-17 23:48:48,20260817,22,12,1-3,0.337,1,270.0,1000.0,settled,2700.0,1,1-3
2026-08-17 23:48:48,20260817,22,12,3-1,0.1554,2,0,1000.0,settled,0.0,0,1-3
2026-08-17 23:48:48,20260817,24,1,1-2,0.3089,1,260.0,1000.0,settled,2600.0,1,1-2
2026-08-17 23:48:48,20260817,24,1,2-1,0.1901,2,0,1000.0,settled,0.0,0,1-2
2026-08-17 23:48:48,20260817,24,6,1-2,0.3287,1,190.0,1000.0,settled,1900.0,1,1-2
