ts,date,jcd,rno,combo,p,odds,kaijin,ev,stake,status,win_combo,hit,payout,ret
2026-08-21 13:06:25,20260820,2,6,1-6-5,0.48,711.3,337.94,3.414,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,2,7,1-2-6,11.48,34.3,393.65,3.938,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,2,7,1-3-6,3.18,86.5,274.78,2.751,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,2,7,1-4-6,1.48,85.3,125.89,1.262,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,2,7,1-6-2,4.38,139.3,609.94,6.101,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,2,7,1-6-3,1.79,318.4,570.6,5.699,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,2,7,1-6-4,0.85,265.7,226.75,2.258,100.0,settled,1-2-3,0,0,0.0
2026-08-21 13:06:25,20260820,2,8,1-6-2,0.87,119.0,103.39,1.035,100.0,settled,1-3-6,0,0,0.0
2026-08-21 13:06:25,20260820,2,9,1-3-4,1.49,67.4,100.4,1.004,100.0,settled,2-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,2,9,1-4-3,1.89,65.8,124.06,1.244,100.0,settled,2-1-5,0,0,0.0
2026-08-21 13:06:25,20260820,2,10,1-2-3,3.54,36.2,128.21,1.281,100.0,settled,6-5-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,10,1-2-4,3.61,42.6,153.71,1.538,100.0,settled,6-5-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,10,1-2-6,4.65,37.2,172.9,1.73,100.0,settled,6-5-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,10,1-3-2,3.7,31.9,118.07,1.18,100.0,settled,6-5-1,0,0,0.0
2026-08-21 13:06:25,20260820,2,10,1-4-2,3.7,51.5,190.61,1.906,100.0,settled,6-5-1,0,0,0.0
